Login,Nombres,ApellidoPaterno,ApellidoMaterno,Password,TipoUser_id,Status,fCreate,IDArea,LastLoginAttempt
root,Application, administrator,,55BEA0B8D7682CEB26F9140FAF9A69CD,2,1,19/06/2009 17:46,1,03/10/2024 13:28
adriAdmin,adriAdmin,adriAdmin,adriAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
agarciaAdmin,agarciaAdmin,agarciaAdmin,agarciaAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
agonzalezAdmin,agonzalezAdmin,agonzalezAdmin,agonzalezAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
alanAdmin,alanAdmin,alanAdmin,alanAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
alexAdmin,alexAdmin,alexAdmin,alexAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
armandAdmin,armandAdmin,armandAdmin,armandAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
carlosAdmin,carlosAdmin,carlosAdmin,carlosAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
cechavezAdmin,cechavezAdmin,cechavezAdmin,cechavezAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
charlesAdmin,charlesAdmin,charlesAdmin,charlesAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
daniAdmin,daniAdmin,daniAdmin,daniAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
davidAdmin,davidAdmin,davidAdmin,davidAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
efloresAdmin,efloresAdmin,efloresAdmin,efloresAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
eguevaraAdmin,eguevaraAdmin,eguevaraAdmin,eguevaraAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
ericAdmin,ericAdmin,ericAdmin,ericAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
fabiAdmin,fabiAdmin,fabiAdmin,fabiAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,02/10/2024 17:13
fabianAdmin,fabianAdmin,fabianAdmin,fabianAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
fcotaAdmin,fcotaAdmin,fcotaAdmin,fcotaAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
fnajeraAdmin,fnajeraAdmin,fnajeraAdmin,fnajeraAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
fridaAdmin,fridaAdmin,fridaAdmin,fridaAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 17:48
gabiAdmin,gabiAdmin,gabiAdmin,gabiAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
gcruzAdmin,gcruzAdmin,gcruzAdmin,gcruzAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
gerardoAdmin,gerardoAdmin,gerardoAdmin,gerardoAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/06/2024 12:54
gmoralesAdmin,gmoralesAdmin,gmoralesAdmin,gmoralesAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
gusAdmin,gusAdmin,gusAdmin,gusAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
hugoAdmin,hugoAdmin,hugoAdmin,hugoAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,02/10/2024 13:38
irisAdmin,irisAdmin,irisAdmin,irisAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
ivanAdmin,ivanAdmin,ivanAdmin,ivanAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
jesusAdmin,jesusAdmin,jesusAdmin,jesusAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,04/06/2024 12:55,1,04/10/2024 15:25
jesus2Admin,jesus2Admin,jesus2Admin,jesus2Admin,0CC175B9C0F1B6A831C399E269772661,2,3,04/06/2024 12:55,1,04/06/2024 12:54
jesuscastroAdmin,jesuscastroAdmin,jesuscastroAdmin,jesuscastroAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,04/06/2024 12:55,1,04/06/2024 12:54
